"","x"
"1",2
"2",2.02388903595788
"3",2.04875214385367
"4",2.0746373180376
"5",2.10159541705273
"6",2.12968036440906
"7",2.15894936528212
"8",2.18946314052056
"9",2.22128617947503
"10",2.25448701330095
"11",2.28913851054097
"12",2.32531819696078
"13",2.36310860179512
"14",2.40259763276128
"15",2.44387898241581
"16",2.48705256866855
"17",2.53222501252765
"18",2.57951015643125
"19",2.6290296268277
"20",2.68091344499802
"21",2.73530069047204
"22",2.79234022177603
"23",2.85219145966291
"24",2.91502523841879
"25",2.98102473130946
"26",3.05038645672653
"27",3.12332137211295
"28",3.20005606328689
"29",3.28083403733485
"30",3.36591712780166
"31",3.45558702145237
"32",3.55014691640428
"33",3.64992332190263
"34",3.75526801041312
"35",3.86656013298935
"36",3.98420850899706
"37",4.10865410117574
"38",4.2403726866168
"39",4.37987773343503
"40",4.52772349158741
"41",4.68450830429616
"42",4.85087814367566
"43",5.02753037021525
"44",5.2152177104524
"45",5.41475244014507
"46",5.62701075111345
"47",5.85293726818728
"48",6.09354966780039
"49",6.34994333106262
"50",6.62329594086329
"51",6.91487190388258
"52",7.22602644340007
"53",7.55820916654075
"54",7.91296685914641
"55",8.29194520195783
"56",8.69688903261281
"57",9.12964069888262
"58",9.59213596001559
"59",10.0863967964566
"60",10.6145203864238
"61",11.1786634056837
"62",11.7810207118408
"63",12.4237973973458
"64",13.1091731511138
"65",13.839257876679
"66",14.6160375997643
"67",15.4413098892755
"68",16.3166083458527
"69",17.2431162148726
"70",18.2215698862783
"71",19.2521539714981
"72",20.3343907982299
"73",21.4670285067207
"74",22.6479333938731
"75",23.8739936094863
"76",25.1410425809303
"77",26.4438113959707
"78",27.7759195439677
"79",29.1299126441233
"80",30.4973538751566
"81",31.8689726848752
"82",33.2348701036741
"83",34.5847749368569
"84",35.9083398092725
"85",37.1954611868023
"86",38.4366038589207
"87",39.6231085950765
"88",40.7474621992954
"89",41.8035120399571
"90",42.7866119909377
"91",43.6936929149306
"92",44.5232574751744
"93",45.2753052765691
"94",45.9511993543622
"95",46.553488359405
"96",47.0857002634936
"97",47.5521231528501
"98",47.9575870375184
"99",48.3072580404522
"100",48.6064533193791
"101",48.8604820334458
