ID,Country,Region,construction_period_start,construction_period_end,steel,copper,aluminum,unspecified_metal,metal_based,wood,paper_cardboard,straw,biomass_based,concrete,cement,aggregates,concrete_based,brick,mortar_plaster,mineral_fill,plaster_board_gypsum,brick_wall_based,Adobe,Asphalt,Bitumen,natural_stone,cement_asbestos,Clay,siding_unspecified,Ceramics,Glass,Plastics,Polystyrene,PVC,Lineoleum,Carpet,Heraklith,Mineral_wool,insulation_unspecified,other_unspecified_material,other_minerals,total_mi,building_description,no_floors,Occupation,building_type,measurement_type,urban_rural,floor_area_type,Authors,publication_year,publication_title,publication_outlet,copyright,DOI,URL,comment_scope,comment_conversion,comment_aggregation,comment_primary,comment_secondary,data_entry,global_region,climate_classification,equator_distance,heating_degree_days_0,heating_degree_days_1,cooling_degree_days_0,cooling_degree_days_1,country_land_area,population_0,Notes..population_0,population_1,urbanization_0,urbanization_1,gdp_0,gdp_1,hdi_0,hdi_1
86,China,Beijing,1949,2008,25,NA,NA,NA,25,7,NA,NA,7,NA,149,814,963,375,NA,NA,NA,375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1370,brick-concrete,NA,residential,"SFH, MFH",NULL,urban,NA,"Hu, Dan; You, Fang; Zhao, Yanhua; Yuan, Ye; Liu, Tianxing; Cao, Aixin; Wang, Zhen; Zhang, Junlian",2010,"Input, stocks and output flows of urban residential building system in Beijing city, China from 1949 to 2008","Resources, Conservation and Recycling",Copyright Elsevier,10.1016/j.resconrec.2010.03.011,https://doi.org/10.1016/j.resconrec.2010.03.011,NULL,NULL,NULL,NULL,"Heating Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values.  Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: Urban pop. in 1950, Urban pop. in 2010, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: GDP in 1950, Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.",Heeren and Fishman,East_Asia,Dwa,4438,2677.38,2742.19,983.272525,877.909975,9326410,543941,NA,1318559,0.118,0.492,757,7741,NULL,NULL
88,China,NA,1950,1960,14,NA,NA,NA,14,20,NA,NA,20,NA,148,1038,1186,638,32,NA,NA,670,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1892,brick-concrete,NA,residential,NA,NULL,urban,NA,"Huang, Tao; Shi, Feng; Tanikawa, Hiroki; Fei, Jinling; Han, Ji",2013,Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis,"Resources, Conservation and Recycling",Copyright Elsevier,10.1016/j.resconrec.2012.12.013,https://doi.org/10.1016/j.resconrec.2012.12.013,NULL,NULL,NULL,NULL,"Climate classification: Could not be attributed because no exact location is known. Heating Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values.  Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: Urban pop. in 1950, Urban pop. in 1960, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.",Heeren and Fishman,East_Asia,NA,3893,2675.65,2556.1525,928.400025,757.032475,9326410,546815,NA,667070,0.118,0.162,757,923,NULL,NULL
89,China,NA,1960,1980,16,NA,NA,NA,16,22,NA,NA,22,NA,157,1189,1346,674,32,NA,NA,706,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2092,brick-concrete,NA,residential,NA,NULL,urban,NA,"Huang, Tao; Shi, Feng; Tanikawa, Hiroki; Fei, Jinling; Han, Ji",2013,Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis,"Resources, Conservation and Recycling",Copyright Elsevier,10.1016/j.resconrec.2012.12.013,https://doi.org/10.1016/j.resconrec.2012.12.013,NULL,NULL,NULL,NULL,"Climate classification: Could not be attributed because no exact location is known. Heating Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values.  Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: Urban pop. in 1960, Urban pop. in 1980, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.",Heeren and Fishman,East_Asia,NA,3893,2556.1525,2753.6375,757.032475,791.952525,9326410,667070,NA,981235,0.162,0.194,923,1690,NULL,NULL
90,China,NA,1980,2011,21,NA,NA,NA,21,24,NA,NA,24,NA,172,1345,1517,705,32,NA,NA,737,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2303,brick-concrete,NA,residential,NA,NULL,urban,NA,"Huang, Tao; Shi, Feng; Tanikawa, Hiroki; Fei, Jinling; Han, Ji",2013,Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis,"Resources, Conservation and Recycling",Copyright Elsevier,10.1016/j.resconrec.2012.12.013,https://doi.org/10.1016/j.resconrec.2012.12.013,NULL,NULL,NULL,NULL,"Climate classification: Could not be attributed because no exact location is known. Heating Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values.  Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: Urban pop. in 1980, Urban pop. in 2010, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.",Heeren and Fishman,East_Asia,NA,3893,2753.6375,2854.475,791.952525,860.3725,9326410,981235,NA,1337752,0.194,0.492,1690,10221,NULL,NULL
91,China,NA,1950,1960,26,NA,NA,NA,26,14,NA,NA,14,NA,168,994,1162,615,40,NA,NA,655,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1861,concrete,NA,residential,NA,NULL,urban,NA,"Huang, Tao; Shi, Feng; Tanikawa, Hiroki; Fei, Jinling; Han, Ji",2013,Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis,"Resources, Conservation and Recycling",Copyright Elsevier,10.1016/j.resconrec.2012.12.013,https://doi.org/10.1016/j.resconrec.2012.12.013,NULL,NULL,NULL,NULL,"Climate classification: Could not be attributed because no exact location is known. Heating Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values.  Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: Urban pop. in 1950, Urban pop. in 1960, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.",Heeren and Fishman,East_Asia,NA,3893,2675.65,2556.1525,928.400025,757.032475,9326410,546815,NA,667070,0.118,0.162,757,923,NULL,NULL
92,China,NA,1975,1980,17,NA,NA,NA,17,22,NA,NA,22,NA,153,1066,1219,107,19,NA,NA,126,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1388,concrete,NA,residential,NA,NULL,urban,NA,"Huang, Tao; Shi, Feng; Tanikawa, Hiroki; Fei, Jinling; Han, Ji",2013,Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis,"Resources, Conservation and Recycling",Copyright Elsevier,10.1016/j.resconrec.2012.12.013,https://doi.org/10.1016/j.resconrec.2012.12.013,NULL,NULL,NULL,NULL,"Climate classification: Could not be attributed because no exact location is known. Heating Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values.  Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: Urban pop. in 1975, Urban pop. in 1980, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.",Heeren and Fishman,East_Asia,NA,3893,2645.5225,2753.6375,789.395025,791.952525,9326410,916395,NA,981235,0.174,0.194,1425,1690,NULL,NULL
93,China,NA,1980,1990,32,NA,NA,NA,32,22,NA,NA,22,NA,181,1113,1294,174,27,NA,NA,201,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1553,concrete,NA,residential,NA,NULL,urban,NA,"Huang, Tao; Shi, Feng; Tanikawa, Hiroki; Fei, Jinling; Han, Ji",2013,Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis,"Resources, Conservation and Recycling",Copyright Elsevier,10.1016/j.resconrec.2012.12.013,https://doi.org/10.1016/j.resconrec.2012.12.013,NULL,NULL,NULL,NULL,"Climate classification: Could not be attributed because no exact location is known. Heating Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values.  Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: Urban pop. in 1980, Urban pop. in 1990, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.",Heeren and Fishman,East_Asia,NA,3893,2753.6375,2502.97,791.952525,815.68,9326410,981235,NA,1135185,0.194,0.264,1690,2460,NULL,NULL
94,China,NA,1990,2011,75,NA,NA,NA,75,26,NA,NA,26,NA,238,1451,1689,16,33,NA,NA,49,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1843,concrete,NA,residential,NA,NULL,urban,NA,"Huang, Tao; Shi, Feng; Tanikawa, Hiroki; Fei, Jinling; Han, Ji",2013,Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis,"Resources, Conservation and Recycling",Copyright Elsevier,10.1016/j.resconrec.2012.12.013,https://doi.org/10.1016/j.resconrec.2012.12.013,NULL,NULL,NULL,NULL,"Climate classification: Could not be attributed because no exact location is known. Heating Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values.  Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: Urban pop. in 1990, Urban pop. in 2010, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.",Heeren and Fishman,East_Asia,NA,3893,2502.97,2854.475,815.68,860.3725,9326410,1135185,NA,1337752,0.264,0.492,2460,10221,NULL,NULL
95,China,NA,1960,1980,26,NA,NA,NA,26,15,NA,NA,15,NA,183,1081,1264,570,48,NA,NA,618,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1927,brick-concrete,NA,"residential, non-residential",NA,NULL,urban,NA,"Huang, Tao; Shi, Feng; Tanikawa, Hiroki; Fei, Jinling; Han, Ji",2013,Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis,"Resources, Conservation and Recycling",Copyright Elsevier,10.1016/j.resconrec.2012.12.013,https://doi.org/10.1016/j.resconrec.2012.12.013,NULL,NULL,NULL,NULL,"Climate classification: Could not be attributed because no exact location is known. Heating Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values.  Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: Urban pop. in 1960, Urban pop. in 1980, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.",Heeren and Fishman,East_Asia,NA,3893,2556.1525,2753.6375,757.032475,791.952525,9326410,667070,NA,981235,0.162,0.194,923,1690,NULL,NULL
96,China,NA,1975,1980,24,NA,NA,NA,24,17,NA,NA,17,NA,271,1231,1502,36,6,NA,NA,42,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1588,brick-concrete,NA,"residential, non-residential",NA,NULL,urban,NA,"Huang, Tao; Shi, Feng; Tanikawa, Hiroki; Fei, Jinling; Han, Ji",2013,Materials demand and environmental impact of buildings construction and demolition in China based on dynamic material flow analysis,"Resources, Conservation and Recycling",Copyright Elsevier,10.1016/j.resconrec.2012.12.013,https://doi.org/10.1016/j.resconrec.2012.12.013,NULL,NULL,NULL,NULL,"Climate classification: Could not be attributed because no exact location is known. Heating Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.hdd.18C' and divided by four to obtain daily values. Cooling Degree Days: Data: https://www.kapsarc.org/research/projects/global-degree-days-database/ - sheet 'T2m.cdd.18C' and divided by four to obtain daily values.  Land area: Data: https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html. Population: Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. Urbanization: Urban pop. in 1975, Urban pop. in 1980, Data: https://www.rug.nl/ggdc/historicaldevelopment/maddison/releases/maddison-project-database-2018. GDP: Data: https://esa.un.org/unpd/wup/Download, Urbanization_rate_2018.xls. Human Development Index: Not collected.",Heeren and Fishman,East_Asia,NA,3893,2645.5225,2753.6375,789.395025,791.952525,9326410,916395,NA,981235,0.174,0.194,1425,1690,NULL,NULL
